soc,function,callee,vendor_count,candidate_count,match
an7581,PCDDR_ShiftDQSUI,_LoopAryToDelay,1,1,yes
an7581,PCDDR_ShiftDQS_OENUI,_LoopAryToDelay,1,1,yes
an7581,get_gating_start_pos,u4Dram_Register_Read,2,2,yes
an7581,Dramc_efuse_read_parse,memset,1,1,yes
an7581,Dramc_efuse_read_parse,ef_read_byte,1,1,yes
an7581,DramcImpedanceEfuseValue,__meta_backup_and_set,1,1,yes
an7581,DramcImpedanceEfuseValue,DramcImpedanceSetValue,1,1,yes
an7581,DramcImpedanceEfuseValue,__meta_advance,1,1,yes
an7581,DramcImpedanceEfuseValue,__meta_process_complete,1,1,yes
an7581,DramcImpedanceEfuseValue,__meta_restore,1,1,yes
an7581,DutyScan_Offset_Convert,memcpy,1,0,no-codegen-only
an7581,CmdOEOnOff,vPhyByteIO32WriteMsk,1,1,yes
an7581,CmdOEOnOff,vPhyByteIO32WriteMsk_All,1,1,yes
an7581,SetRxDqDelay,vPhyByteWriteFldAlign,2,2,yes
an7581,Get_RX_DelayCell,(none),0,0,yes
an7583,PCDDR_ShiftDQSUI,_LoopAryToDelay,1,1,yes
an7583,PCDDR_ShiftDQS_OENUI,_LoopAryToDelay,1,1,yes
an7583,get_gating_start_pos,u4Dram_Register_Read,2,2,yes
an7583,Dramc_efuse_read_parse,memset,1,1,yes
an7583,Dramc_efuse_read_parse,ef_read_byte,1,1,yes
an7583,DramcImpedanceEfuseValue,__meta_backup_and_set,1,1,yes
an7583,DramcImpedanceEfuseValue,DramcImpedanceSetValue,1,1,yes
an7583,DramcImpedanceEfuseValue,__meta_advance,1,1,yes
an7583,DramcImpedanceEfuseValue,__meta_process_complete,1,1,yes
an7583,DramcImpedanceEfuseValue,__meta_restore,1,1,yes
an7583,DutyScan_Offset_Convert,memcpy,1,0,no-codegen-only
an7583,CmdOEOnOff,vPhyByteIO32WriteMsk,1,1,yes
an7583,CmdOEOnOff,vPhyByteIO32WriteMsk_All,1,1,yes
an7583,SetRxDqDelay,vPhyByteWriteFldAlign,2,2,yes
an7583,Get_RX_DelayCell,(none),0,0,yes
